lat,lon,year,scenario,chill_days
26.558,-68.723,2020,ssp126,0
26.558,-67.5,2020,ssp126,0
27.176,-125.0,2020,ssp126,0
27.176,-123.777,2020,ssp126,0
27.176,-122.553,2020,ssp126,0
27.176,-121.33,2020,ssp126,0
27.176,-120.106,2020,ssp126,0
27.176,-118.883,2020,ssp126,0
27.176,-117.66,2020,ssp126,0
27.176,-116.436,2020,ssp126,0
27.176,-115.213,2020,ssp126,0
27.176,-113.989,2020,ssp126,5
27.176,-112.766,2020,ssp126,10
27.176,-111.543,2020,ssp126,12
27.176,-110.319,2020,ssp126,13
27.176,-109.096,2020,ssp126,47
27.176,-107.872,2020,ssp126,92
27.176,-106.649,2020,ssp126,100
27.176,-105.426,2020,ssp126,92
27.176,-104.202,2020,ssp126,79
27.176,-102.979,2020,ssp126,62
27.176,-101.755,2020,ssp126,51
27.176,-100.532,2020,ssp126,43
27.176,-99.308,2020,ssp126,33
27.176,-98.085,2020,ssp126,21
27.176,-96.862,2020,ssp126,11
27.176,-95.638,2020,ssp126,5
27.176,-94.415,2020,ssp126,1
27.176,-93.192,2020,ssp126,0
27.176,-91.968,2020,ssp126,0
27.176,-90.745,2020,ssp126,0
27.176,-89.521,2020,ssp126,0
27.176,-88.298,2020,ssp126,0
27.176,-87.074,2020,ssp126,0
27.176,-85.851,2020,ssp126,0
27.176,-84.628,2020,ssp126,0
27.176,-83.404,2020,ssp126,1
27.176,-82.181,2020,ssp126,1
27.176,-80.957,2020,ssp126,1
27.176,-79.734,2020,ssp126,0
27.176,-78.511,2020,ssp126,0
27.176,-77.287,2020,ssp126,0
27.176,-76.064,2020,ssp126,0
27.176,-74.84,2020,ssp126,0
27.176,-73.617,2020,ssp126,0
27.176,-72.394,2020,ssp126,0
27.176,-71.17,2020,ssp126,0
27.176,-69.947,2020,ssp126,0
27.176,-68.723,2020,ssp126,0
27.176,-67.5,2020,ssp126,0
27.795,-125.0,2020,ssp126,0
27.795,-123.777,2020,ssp126,0
27.795,-122.553,2020,ssp126,0
27.795,-121.33,2020,ssp126,0
27.795,-120.106,2020,ssp126,0
27.795,-118.883,2020,ssp126,0
27.795,-117.66,2020,ssp126,0
27.795,-116.436,2020,ssp126,0
27.795,-115.213,2020,ssp126,0
27.795,-113.989,2020,ssp126,10
27.795,-112.766,2020,ssp126,22
27.795,-111.543,2020,ssp126,25
27.795,-110.319,2020,ssp126,27
27.795,-109.096,2020,ssp126,60
27.795,-107.872,2020,ssp126,104
27.795,-106.649,2020,ssp126,107
27.795,-105.426,2020,ssp126,92
27.795,-104.202,2020,ssp126,80
27.795,-102.979,2020,ssp126,68
27.795,-101.755,2020,ssp126,57
27.795,-100.532,2020,ssp126,46
27.795,-99.308,2020,ssp126,36
27.795,-98.085,2020,ssp126,25
27.795,-96.862,2020,ssp126,15
27.795,-95.638,2020,ssp126,7
27.795,-94.415,2020,ssp126,2
27.795,-93.192,2020,ssp126,1
27.795,-91.968,2020,ssp126,0
27.795,-90.745,2020,ssp126,0
27.795,-89.521,2020,ssp126,0
27.795,-88.298,2020,ssp126,0
27.795,-87.074,2020,ssp126,0
27.795,-85.851,2020,ssp126,0
27.795,-84.628,2020,ssp126,0
27.795,-83.404,2020,ssp126,2
27.795,-82.181,2020,ssp126,2
27.795,-80.957,2020,ssp126,1
27.795,-79.734,2020,ssp126,0
27.795,-78.511,2020,ssp126,0
27.795,-77.287,2020,ssp126,0
27.795,-76.064,2020,ssp126,0
27.795,-74.84,2020,ssp126,0
27.795,-73.617,2020,ssp126,0
27.795,-72.394,2020,ssp126,0
27.795,-71.17,2020,ssp126,0
27.795,-69.947,2020,ssp126,0
27.795,-68.723,2020,ssp126,0
27.795,-67.5,2020,ssp126,0
28.413,-125.0,2020,ssp126,0
28.413,-123.777,2020,ssp126,0
28.413,-122.553,2020,ssp126,0
28.413,-121.33,2020,ssp126,0
28.413,-120.106,2020,ssp126,0
28.413,-118.883,2020,ssp126,0
28.413,-117.66,2020,ssp126,0
28.413,-116.436,2020,ssp126,0
28.413,-115.213,2020,ssp126,0
28.413,-113.989,2020,ssp126,11
28.413,-112.766,2020,ssp126,24
28.413,-111.543,2020,ssp126,32
28.413,-110.319,2020,ssp126,39
28.413,-109.096,2020,ssp126,66
28.413,-107.872,2020,ssp126,101
28.413,-106.649,2020,ssp126,101
28.413,-105.426,2020,ssp126,87
28.413,-104.202,2020,ssp126,77
28.413,-102.979,2020,ssp126,70
28.413,-101.755,2020,ssp126,62
28.413,-100.532,2020,ssp126,53
28.413,-99.308,2020,ssp126,44
28.413,-98.085,2020,ssp126,34
28.413,-96.862,2020,ssp126,24
28.413,-95.638,2020,ssp126,14
28.413,-94.415,2020,ssp126,7
28.413,-93.192,2020,ssp126,4
28.413,-91.968,2020,ssp126,3
28.413,-90.745,2020,ssp126,2
28.413,-89.521,2020,ssp126,1
28.413,-88.298,2020,ssp126,1
28.413,-87.074,2020,ssp126,0
28.413,-85.851,2020,ssp126,0
28.413,-84.628,2020,ssp126,1
28.413,-83.404,2020,ssp126,4
28.413,-82.181,2020,ssp126,5
28.413,-80.957,2020,ssp126,2
28.413,-79.734,2020,ssp126,0
28.413,-78.511,2020,ssp126,0
28.413,-77.287,2020,ssp126,0
28.413,-76.064,2020,ssp126,0
28.413,-74.84,2020,ssp126,0
28.413,-73.617,2020,ssp126,0
28.413,-72.394,2020,ssp126,0
28.413,-71.17,2020,ssp126,0
28.413,-69.947,2020,ssp126,0
28.413,-68.723,2020,ssp126,0
28.413,-67.5,2020,ssp126,0
29.031,-125.0,2020,ssp126,0
29.031,-123.777,2020,ssp126,0
